,u_index,tag_id,weight
701,85.0,16.0,1.0
702,86.0,10.0,7.0
703,86.0,30.0,1.0
704,86.0,18.0,1.0
705,86.0,3.0,6.0
706,86.0,4.0,1.0
707,86.0,14.0,3.0
708,86.0,16.0,2.0
709,86.0,12.0,1.0
710,86.0,11.0,3.0
711,86.0,2.0,4.0
712,86.0,6.0,1.0
713,87.0,3.0,6.0
714,87.0,25.0,1.0
715,87.0,14.0,1.0
716,87.0,16.0,2.0
717,87.0,0.0,1.0
718,87.0,10.0,1.0
719,88.0,21.0,2.0
720,88.0,22.0,9.0
721,88.0,4.0,11.0
722,88.0,14.0,2.0
723,88.0,28.0,1.0
724,88.0,10.0,2.0
725,88.0,3.0,1.0
726,88.0,25.0,3.0
727,88.0,2.0,1.0
728,88.0,16.0,2.0
729,89.0,3.0,7.0
730,89.0,17.0,1.0
731,89.0,11.0,6.0
732,89.0,10.0,2.0
733,89.0,21.0,1.0
734,89.0,4.0,1.0
735,89.0,2.0,5.0
736,90.0,11.0,9.0
737,90.0,2.0,10.0
738,90.0,4.0,4.0
739,90.0,25.0,2.0
740,90.0,5.0,2.0
741,90.0,13.0,1.0
742,91.0,3.0,2.0
743,91.0,12.0,1.0
744,91.0,21.0,5.0
745,91.0,5.0,2.0
746,91.0,11.0,2.0
747,91.0,4.0,4.0
748,91.0,25.0,5.0
749,91.0,2.0,4.0
750,91.0,8.0,3.0
751,91.0,20.0,1.0
752,92.0,4.0,3.0
753,92.0,11.0,1.0
754,92.0,2.0,1.0
755,92.0,3.0,4.0
756,92.0,14.0,1.0
757,92.0,22.0,1.0
758,92.0,5.0,2.0
759,92.0,10.0,2.0
760,92.0,26.0,1.0
761,92.0,21.0,1.0
762,92.0,12.0,1.0
763,92.0,0.0,1.0
764,93.0,4.0,7.0
765,93.0,11.0,4.0
766,93.0,2.0,6.0
767,93.0,25.0,2.0
768,93.0,10.0,4.0
769,93.0,5.0,2.0
770,93.0,16.0,2.0
771,93.0,3.0,3.0
772,93.0,7.0,1.0
773,93.0,8.0,1.0
774,93.0,14.0,1.0
775,93.0,22.0,1.0
776,93.0,21.0,1.0
777,94.0,3.0,11.0
778,94.0,10.0,6.0
779,94.0,25.0,2.0
780,94.0,20.0,1.0
781,94.0,21.0,2.0
782,94.0,14.0,3.0
783,94.0,5.0,1.0
784,94.0,11.0,3.0
785,94.0,16.0,1.0
786,94.0,4.0,2.0
787,94.0,2.0,2.0
788,95.0,3.0,4.0
789,95.0,14.0,3.0
790,95.0,17.0,2.0
791,95.0,10.0,1.0
792,95.0,16.0,1.0
793,95.0,22.0,2.0
794,95.0,4.0,5.0
795,95.0,25.0,1.0
796,95.0,5.0,1.0
797,95.0,21.0,1.0
798,95.0,11.0,1.0
799,95.0,8.0,1.0
800,96.0,3.0,9.0
801,96.0,14.0,1.0
802,96.0,22.0,1.0
803,96.0,12.0,2.0
804,96.0,10.0,3.0
805,96.0,25.0,1.0
806,96.0,21.0,1.0
807,96.0,17.0,1.0
808,97.0,10.0,7.0
809,97.0,25.0,3.0
810,97.0,14.0,1.0
811,97.0,2.0,1.0
812,97.0,20.0,1.0
813,97.0,21.0,3.0
814,97.0,11.0,5.0
815,97.0,3.0,3.0
816,97.0,5.0,3.0
817,98.0,3.0,7.0
818,98.0,14.0,4.0
819,98.0,22.0,3.0
820,98.0,11.0,2.0
821,98.0,2.0,4.0
822,98.0,0.0,2.0
823,98.0,7.0,1.0
824,98.0,16.0,1.0
825,98.0,10.0,3.0
826,98.0,4.0,5.0
827,98.0,12.0,1.0
828,98.0,25.0,4.0
829,99.0,18.0,2.0
830,99.0,3.0,7.0
831,99.0,10.0,4.0
832,99.0,21.0,1.0
833,99.0,9.0,2.0
834,99.0,11.0,1.0
835,99.0,2.0,3.0
836,99.0,4.0,2.0
837,99.0,25.0,2.0
838,99.0,14.0,1.0
839,99.0,16.0,1.0
840,100.0,4.0,2.0
841,100.0,11.0,1.0
842,100.0,2.0,3.0
843,100.0,3.0,5.0
844,100.0,14.0,2.0
845,100.0,22.0,1.0
846,100.0,30.0,1.0
847,100.0,0.0,2.0
848,100.0,21.0,2.0
849,100.0,25.0,1.0
850,100.0,10.0,1.0
851,100.0,8.0,1.0
852,101.0,25.0,4.0
853,101.0,14.0,2.0
854,101.0,16.0,6.0
855,101.0,3.0,4.0
856,101.0,7.0,1.0
857,101.0,17.0,1.0
858,101.0,4.0,8.0
859,101.0,2.0,4.0
860,101.0,19.0,1.0
861,101.0,13.0,1.0
862,102.0,3.0,5.0
863,102.0,10.0,10.0
864,102.0,25.0,2.0
865,102.0,4.0,2.0
866,102.0,22.0,1.0
867,102.0,12.0,1.0
868,102.0,14.0,1.0
869,102.0,21.0,2.0
870,102.0,11.0,2.0
871,102.0,19.0,1.0
872,102.0,8.0,1.0
873,103.0,5.0,5.0
874,103.0,10.0,1.0
875,103.0,22.0,1.0
876,103.0,4.0,5.0
877,103.0,11.0,2.0
878,103.0,2.0,3.0
879,103.0,27.0,1.0
880,103.0,25.0,3.0
881,103.0,3.0,1.0
882,103.0,24.0,1.0
883,103.0,19.0,1.0
884,103.0,8.0,1.0
885,104.0,4.0,3.0
886,104.0,25.0,3.0
887,104.0,3.0,5.0
888,104.0,11.0,1.0
889,104.0,2.0,1.0
890,104.0,21.0,2.0
891,104.0,22.0,1.0
892,104.0,10.0,1.0
893,104.0,5.0,4.0
894,104.0,12.0,1.0
895,104.0,29.0,1.0
896,105.0,3.0,3.0
897,105.0,16.0,3.0
898,105.0,22.0,4.0
899,105.0,4.0,4.0
900,105.0,2.0,3.0
901,105.0,10.0,2.0
902,105.0,14.0,2.0
903,105.0,25.0,1.0
904,105.0,11.0,1.0
905,105.0,13.0,2.0
906,106.0,3.0,10.0
907,106.0,12.0,1.0
908,106.0,21.0,4.0
909,106.0,14.0,4.0
910,106.0,10.0,2.0
911,106.0,23.0,1.0
912,106.0,8.0,1.0
913,106.0,4.0,4.0
914,106.0,19.0,2.0
915,107.0,26.0,2.0
916,107.0,4.0,2.0
917,107.0,11.0,1.0
918,107.0,2.0,1.0
919,107.0,5.0,1.0
920,107.0,24.0,1.0
921,107.0,3.0,1.0
922,107.0,10.0,2.0
923,107.0,21.0,1.0
